alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.1,1,0.14,1.00,0
0.1,1,0.14,2.00,0
0.1,1,0.14,3.00,0
0.1,1,0.14,4.00,0
0.1,1,0.14,5.00,0
0.1,1,0.14,6.00,30
0.1,1,0.14,7.00,85
0.1,1,0.14,8.00,100
0.1,1,0.14,9.00,100
0.1,1,0.14,10.00,100
0.1,2,0.18,1.00,0
0.1,2,0.18,2.00,0
0.1,2,0.18,3.00,0
0.1,2,0.18,4.00,0
0.1,2,0.18,5.00,10
0.1,2,0.18,6.00,85
0.1,2,0.18,7.00,100
0.1,2,0.18,8.00,100
0.1,2,0.18,9.00,100
0.1,2,0.18,10.00,100
0.1,3,0.22,1.00,0
0.1,3,0.22,2.00,0
0.1,3,0.22,3.00,0
0.1,3,0.22,4.00,5
0.1,3,0.22,5.00,55
0.1,3,0.22,6.00,100
0.1,3,0.22,7.00,100
0.1,3,0.22,8.00,100
0.1,3,0.22,9.00,100
0.1,3,0.22,10.00,100
0.1,4,0.28,1.00,0
0.1,4,0.28,2.00,0
0.1,4,0.28,3.00,0
0.1,4,0.28,4.00,75
0.1,4,0.28,5.00,100
0.1,4,0.28,6.00,100
0.1,4,0.28,7.00,100
0.1,4,0.28,8.00,100
0.1,4,0.28,9.00,100
0.1,4,0.28,10.00,100
0.1,5,0.33,1.00,0
0.1,5,0.33,2.00,0
0.1,5,0.33,3.00,20
0.1,5,0.33,4.00,100
0.1,5,0.33,5.00,100
0.1,5,0.33,6.00,100
0.1,5,0.33,7.00,100
0.1,5,0.33,8.00,100
0.1,5,0.33,9.00,100
0.1,5,0.33,10.00,100
0.2,1,0.24,1.00,0
0.2,1,0.24,2.00,0
0.2,1,0.24,3.00,0
0.2,1,0.24,4.00,0
0.2,1,0.24,5.00,0
0.2,1,0.24,6.00,85
0.2,1,0.24,7.00,95
0.2,1,0.24,8.00,100
0.2,1,0.24,9.00,100
0.2,1,0.24,10.00,100
0.2,2,0.29,1.00,0
