alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.2,2,0.29,2.00,0
0.2,2,0.29,3.00,0
0.2,2,0.29,4.00,0
0.2,2,0.29,5.00,35
0.2,2,0.29,6.00,95
0.2,2,0.29,7.00,100
0.2,2,0.29,8.00,100
0.2,2,0.29,9.00,100
0.2,2,0.29,10.00,100
0.2,3,0.33,1.00,0
0.2,3,0.33,2.00,0
0.2,3,0.33,3.00,0
0.2,3,0.33,4.00,25
0.2,3,0.33,5.00,100
0.2,3,0.33,6.00,100
0.2,3,0.33,7.00,100
0.2,3,0.33,8.00,100
0.2,3,0.33,9.00,100
0.2,3,0.33,10.00,100
0.2,4,0.40,1.00,0
0.2,4,0.40,2.00,0
0.2,4,0.40,3.00,70
0.2,4,0.40,4.00,100
0.2,4,0.40,5.00,100
0.2,4,0.40,6.00,100
0.2,4,0.40,7.00,100
0.2,4,0.40,8.00,100
0.2,4,0.40,9.00,100
0.2,4,0.40,10.00,100
0.2,5,0.45,1.00,0
0.2,5,0.45,2.00,0
0.2,5,0.45,3.00,85
0.2,5,0.45,4.00,100
0.2,5,0.45,5.00,100
0.2,5,0.45,6.00,100
0.2,5,0.45,7.00,100
0.2,5,0.45,8.00,100
0.2,5,0.45,9.00,100
0.2,5,0.45,10.00,100
0.3,1,0.35,1.00,0
0.3,1,0.35,2.00,0
0.3,1,0.35,3.00,0
0.3,1,0.35,4.00,0
0.3,1,0.35,5.00,0
0.3,1,0.35,6.00,100
0.3,1,0.35,7.00,100
0.3,1,0.35,8.00,100
0.3,1,0.35,9.00,100
0.3,1,0.35,10.00,100
0.3,2,0.39,1.00,0
0.3,2,0.39,2.00,0
0.3,2,0.39,3.00,0
0.3,2,0.39,4.00,0
0.3,2,0.39,5.00,90
0.3,2,0.39,6.00,100
0.3,2,0.39,7.00,100
0.3,2,0.39,8.00,100
0.3,2,0.39,9.00,100
0.3,2,0.39,10.00,100
0.3,3,0.44,1.00,0
0.3,3,0.44,2.00,0
0.3,3,0.44,3.00,0
0.3,3,0.44,4.00,55
0.3,3,0.44,5.00,100
0.3,3,0.44,6.00,100
0.3,3,0.44,7.00,100
0.3,3,0.44,8.00,100
0.3,3,0.44,9.00,100
0.3,3,0.44,10.00,100
0.3,4,0.52,1.00,0
0.3,4,0.52,2.00,0
0.3,4,0.52,3.00,95
0.3,4,0.52,4.00,100
0.3,4,0.52,5.00,100
0.3,4,0.52,6.00,100
0.3,4,0.52,7.00,100
0.3,4,0.52,8.00,100
0.3,4,0.52,9.00,100
0.3,4,0.52,10.00,100
0.3,5,0.57,1.00,0
0.3,5,0.57,2.00,0
0.3,5,0.57,3.00,100
0.3,5,0.57,4.00,100
0.3,5,0.57,5.00,100
0.3,5,0.57,6.00,100
0.3,5,0.57,7.00,100
0.3,5,0.57,8.00,100
0.3,5,0.57,9.00,100
0.3,5,0.57,10.00,100
0.5,1,0.55,1.00,0
0.5,1,0.55,2.00,0
0.5,1,0.55,3.00,0
0.5,1,0.55,4.00,0
0.5,1,0.55,5.00,20
0.5,1,0.55,6.00,100
0.5,1,0.55,7.00,95
0.5,1,0.55,8.00,90
0.5,1,0.55,9.00,100
0.5,1,0.55,10.00,90
0.5,2,0.61,1.00,0
0.5,2,0.61,2.00,0
0.5,2,0.61,3.00,0
0.5,2,0.61,4.00,5
0.5,2,0.61,5.00,90
0.5,2,0.61,6.00,100
0.5,2,0.61,7.00,100
0.5,2,0.61,8.00,100
0.5,2,0.61,9.00,100
0.5,2,0.61,10.00,100
0.5,3,0.66,1.00,0
0.5,3,0.66,2.00,0
0.5,3,0.66,3.00,15
0.5,3,0.66,4.00,90
0.5,3,0.66,5.00,100
0.5,3,0.66,6.00,100
0.5,3,0.66,7.00,100
0.5,3,0.66,8.00,100
0.5,3,0.66,9.00,100
0.5,3,0.66,10.00,100
0.5,4,0.75,1.00,0
0.5,4,0.75,2.00,10
0.5,4,0.75,3.00,100
0.5,4,0.75,4.00,100
0.5,4,0.75,5.00,100
0.5,4,0.75,6.00,100
0.5,4,0.75,7.00,100
0.5,4,0.75,8.00,100
0.5,4,0.75,9.00,100
0.5,4,0.75,10.00,100
0.5,5,0.81,1.00,0
0.5,5,0.81,2.00,25
0.5,5,0.81,3.00,100
0.5,5,0.81,4.00,100
0.5,5,0.81,5.00,100
0.5,5,0.81,6.00,100
0.5,5,0.81,7.00,100
0.5,5,0.81,8.00,100
0.5,5,0.81,9.00,100
0.5,5,0.81,10.00,100
0.8,1,0.86,1.00,0
0.8,1,0.86,2.00,0
0.8,1,0.86,3.00,0
0.8,1,0.86,4.00,0
0.8,1,0.86,5.00,5
0.8,1,0.86,6.00,95
0.8,1,0.86,7.00,95
0.8,1,0.86,8.00,100
0.8,1,0.86,9.00,100
0.8,1,0.86,10.00,100
0.8,2,0.93,1.00,0
0.8,2,0.93,2.00,0
0.8,2,0.93,3.00,0
0.8,2,0.93,4.00,5
0.8,2,0.93,5.00,100
0.8,2,0.93,6.00,100
0.8,2,0.93,7.00,100
0.8,2,0.93,8.00,100
0.8,2,0.93,9.00,100
0.8,2,0.93,10.00,100
0.8,3,0.99,1.00,0
0.8,3,0.99,2.00,0
0.8,3,0.99,3.00,25
0.8,3,0.99,4.00,100
0.8,3,0.99,5.00,100
0.8,3,0.99,6.00,100
0.8,3,0.99,7.00,100
0.8,3,0.99,8.00,100
0.8,3,0.99,9.00,100
0.8,3,0.99,10.00,100
0.8,4,1.10,1.00,0
0.8,4,1.10,2.00,70
0.8,4,1.10,3.00,100
0.8,4,1.10,4.00,100
0.8,4,1.10,5.00,100
0.8,4,1.10,6.00,100
0.8,4,1.10,7.00,100
0.8,4,1.10,8.00,100
0.8,4,1.10,9.00,100
0.8,4,1.10,10.00,100
0.8,5,1.18,1.00,0
0.8,5,1.18,2.00,95
0.8,5,1.18,3.00,100
0.8,5,1.18,4.00,100
0.8,5,1.18,5.00,100
0.8,5,1.18,6.00,100
0.8,5,1.18,7.00,100
0.8,5,1.18,8.00,100
0.8,5,1.18,9.00,100
0.8,5,1.18,10.00,100
1.0,1,1.07,1.00,0
1.0,1,1.07,2.00,0
1.0,1,1.07,3.00,0
1.0,1,1.07,4.00,0
1.0,1,1.07,5.00,5
1.0,1,1.07,6.00,75
1.0,1,1.07,7.00,95
1.0,1,1.07,8.00,90
1.0,1,1.07,9.00,100
1.0,1,1.07,10.00,100
1.0,2,1.14,1.00,0
1.0,2,1.14,2.00,0
1.0,2,1.14,3.00,0
1.0,2,1.14,4.00,5
1.0,2,1.14,5.00,95
1.0,2,1.14,6.00,100
1.0,2,1.14,7.00,100
1.0,2,1.14,8.00,100
1.0,2,1.14,9.00,100
1.0,2,1.14,10.00,100
1.0,3,1.21,1.00,0
1.0,3,1.21,2.00,0
1.0,3,1.21,3.00,60
1.0,3,1.21,4.00,100
1.0,3,1.21,5.00,100
1.0,3,1.21,6.00,100
1.0,3,1.21,7.00,100
1.0,3,1.21,8.00,100
1.0,3,1.21,9.00,100
1.0,3,1.21,10.00,100
1.0,4,1.33,1.00,0
1.0,4,1.33,2.00,95
1.0,4,1.33,3.00,100
1.0,4,1.33,4.00,100
1.0,4,1.33,5.00,100
1.0,4,1.33,6.00,100
1.0,4,1.33,7.00,100
1.0,4,1.33,8.00,100
1.0,4,1.33,9.00,100
1.0,4,1.33,10.00,100
1.0,5,1.42,1.00,0
1.0,5,1.42,2.00,100
1.0,5,1.42,3.00,100
1.0,5,1.42,4.00,100
1.0,5,1.42,5.00,100
1.0,5,1.42,6.00,100
1.0,5,1.42,7.00,100
1.0,5,1.42,8.00,100
1.0,5,1.42,9.00,100
1.0,5,1.42,10.00,100
