alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.03,5,0.24,3.00,0
0.03,5,0.24,3.50,0
0.03,5,0.24,4.00,5
0.03,5,0.24,4.50,50
0.03,5,0.24,5.00,100
0.03,5,0.24,5.50,100
0.03,5,0.24,6.00,100
0.03,5,0.24,6.50,100
0.03,5,0.24,7.00,100
0.03,5,0.24,7.50,100
0.03,5,0.24,8.00,100
0.03,5,0.24,8.50,100
0.03,5,0.24,9.00,100
0.06,1,0.10,2.00,0
0.06,1,0.10,2.50,0
0.06,1,0.10,3.00,0
0.06,1,0.10,3.50,0
0.06,1,0.10,4.00,0
0.06,1,0.10,4.50,0
0.06,1,0.10,5.00,0
0.06,1,0.10,5.50,0
0.06,1,0.10,6.00,0
0.06,1,0.10,6.50,85
0.06,1,0.10,7.00,95
0.06,1,0.10,7.50,100
0.06,1,0.10,8.00,100
0.06,1,0.10,8.50,100
0.06,1,0.10,9.00,100
0.06,2,0.14,2.00,0
0.06,2,0.14,2.50,0
0.06,2,0.14,3.00,0
0.06,2,0.14,3.50,0
0.06,2,0.14,4.00,0
0.06,2,0.14,4.50,0
0.06,2,0.14,5.00,25
0.06,2,0.14,5.50,85
0.06,2,0.14,6.00,100
0.06,2,0.14,6.50,100
0.06,2,0.14,7.00,100
0.06,2,0.14,7.50,100
0.06,2,0.14,8.00,100
0.06,2,0.14,8.50,100
0.06,2,0.14,9.00,100
0.06,3,0.17,2.00,0
0.06,3,0.17,2.50,0
0.06,3,0.17,3.00,0
0.06,3,0.17,3.50,0
0.06,3,0.17,4.00,20
0.06,3,0.17,4.50,90
0.06,3,0.17,5.00,100
0.06,3,0.17,5.50,100
0.06,3,0.17,6.00,100
0.06,3,0.17,6.50,100
0.06,3,0.17,7.00,100
0.06,3,0.17,7.50,100
0.06,3,0.17,8.00,100
0.06,3,0.17,8.50,100
0.06,3,0.17,9.00,100
0.06,4,0.24,2.00,0
0.06,4,0.24,2.50,0
0.06,4,0.24,3.00,0
0.06,4,0.24,3.50,20
0.06,4,0.24,4.00,100
0.06,4,0.24,4.50,100
0.06,4,0.24,5.00,100
0.06,4,0.24,5.50,100
0.06,4,0.24,6.00,100
0.06,4,0.24,6.50,100
0.06,4,0.24,7.00,100
0.06,4,0.24,7.50,100
0.06,4,0.24,8.00,100
0.06,4,0.24,8.50,100
0.06,4,0.24,9.00,100
0.06,5,0.28,2.00,0
0.06,5,0.28,2.50,0
0.06,5,0.28,3.00,0
0.06,5,0.28,3.50,15
0.06,5,0.28,4.00,100
0.06,5,0.28,4.50,100
0.06,5,0.28,5.00,100
0.06,5,0.28,5.50,100
0.06,5,0.28,6.00,100
0.06,5,0.28,6.50,100
0.06,5,0.28,7.00,100
0.06,5,0.28,7.50,100
0.06,5,0.28,8.00,100
0.06,5,0.28,8.50,100
0.06,5,0.28,9.00,100
0.09,1,0.13,2.00,0
0.09,1,0.13,2.50,0
0.09,1,0.13,3.00,0
0.09,1,0.13,3.50,0
0.09,1,0.13,4.00,0
0.09,1,0.13,4.50,0
0.09,1,0.13,5.00,0
0.09,1,0.13,5.50,0
0.09,1,0.13,6.00,70
0.09,1,0.13,6.50,100
0.09,1,0.13,7.00,95
0.09,1,0.13,7.50,95
0.09,1,0.13,8.00,100
0.09,1,0.13,8.50,100
0.09,1,0.13,9.00,100
0.09,2,0.17,2.00,0
0.09,2,0.17,2.50,0
0.09,2,0.17,3.00,0
0.09,2,0.17,3.50,0
0.09,2,0.17,4.00,0
0.09,2,0.17,4.50,0
0.09,2,0.17,5.00,85
0.09,2,0.17,5.50,100
0.09,2,0.17,6.00,100
0.09,2,0.17,6.50,100
0.09,2,0.17,7.00,100
0.09,2,0.17,7.50,100
0.09,2,0.17,8.00,100
0.09,2,0.17,8.50,100
0.09,2,0.17,9.00,100
0.09,3,0.21,2.00,0
0.09,3,0.21,2.50,0
0.09,3,0.21,3.00,0
0.09,3,0.21,3.50,15
0.09,3,0.21,4.00,95
0.09,3,0.21,4.50,100
0.09,3,0.21,5.00,100
0.09,3,0.21,5.50,100
0.09,3,0.21,6.00,100
0.09,3,0.21,6.50,100
0.09,3,0.21,7.00,100
0.09,3,0.21,7.50,100
0.09,3,0.21,8.00,100
0.09,3,0.21,8.50,100
0.09,3,0.21,9.00,100
0.09,4,0.27,2.00,0
0.09,4,0.27,2.50,0
0.09,4,0.27,3.00,5
0.09,4,0.27,3.50,100
0.09,4,0.27,4.00,100
0.09,4,0.27,4.50,100
0.09,4,0.27,5.00,100
0.09,4,0.27,5.50,100
0.09,4,0.27,6.00,100
0.09,4,0.27,6.50,100
0.09,4,0.27,7.00,100
0.09,4,0.27,7.50,100
0.09,4,0.27,8.00,100
0.09,4,0.27,8.50,100
0.09,4,0.27,9.00,100
0.09,5,0.32,2.00,0
0.09,5,0.32,2.50,0
0.09,5,0.32,3.00,0
0.09,5,0.32,3.50,95
0.09,5,0.32,4.00,100
0.09,5,0.32,4.50,100
0.09,5,0.32,5.00,100
0.09,5,0.32,5.50,100
0.09,5,0.32,6.00,100
0.09,5,0.32,6.50,100
0.09,5,0.32,7.00,100
0.09,5,0.32,7.50,100
0.09,5,0.32,8.00,100
0.09,5,0.32,8.50,100
0.09,5,0.32,9.00,100
0.12,1,0.16,2.00,0
0.12,1,0.16,2.50,0
0.12,1,0.16,3.00,0
0.12,1,0.16,3.50,0
0.12,1,0.16,4.00,0
0.12,1,0.16,4.50,0
0.12,1,0.16,5.00,0
0.12,1,0.16,5.50,45
0.12,1,0.16,6.00,100
0.12,1,0.16,6.50,90
0.12,1,0.16,7.00,100
0.12,1,0.16,7.50,100
0.12,1,0.16,8.00,100
0.12,1,0.16,8.50,100
0.12,1,0.16,9.00,95
0.12,2,0.20,2.00,0
0.12,2,0.20,2.50,0
0.12,2,0.20,3.00,0
0.12,2,0.20,3.50,0
0.12,2,0.20,4.00,0
0.12,2,0.20,4.50,60
0.12,2,0.20,5.00,95
0.12,2,0.20,5.50,100
0.12,2,0.20,6.00,100
0.12,2,0.20,6.50,100
0.12,2,0.20,7.00,100
0.12,2,0.20,7.50,100
0.12,2,0.20,8.00,100
0.12,2,0.20,8.50,100
0.12,2,0.20,9.00,100
0.12,3,0.24,2.00,0
0.12,3,0.24,2.50,0
0.12,3,0.24,3.00,5
0.12,3,0.24,3.50,70
0.12,3,0.24,4.00,95
0.12,3,0.24,4.50,100
0.12,3,0.24,5.00,100
0.12,3,0.24,5.50,100
0.12,3,0.24,6.00,100
0.12,3,0.24,6.50,100
0.12,3,0.24,7.00,100
0.12,3,0.24,7.50,100
0.12,3,0.24,8.00,100
0.12,3,0.24,8.50,100
0.12,3,0.24,9.00,100
0.12,4,0.31,2.00,0
0.12,4,0.31,2.50,0
0.12,4,0.31,3.00,75
0.12,4,0.31,3.50,100
0.12,4,0.31,4.00,100
0.12,4,0.31,4.50,100
0.12,4,0.31,5.00,100
0.12,4,0.31,5.50,100
0.12,4,0.31,6.00,100
0.12,4,0.31,6.50,100
0.12,4,0.31,7.00,100
0.12,4,0.31,7.50,100
0.12,4,0.31,8.00,100
0.12,4,0.31,8.50,100
0.12,4,0.31,9.00,100
0.12,5,0.35,2.00,0
0.12,5,0.35,2.50,0
0.12,5,0.35,3.00,55
0.12,5,0.35,3.50,100
0.12,5,0.35,4.00,100
0.12,5,0.35,4.50,100
0.12,5,0.35,5.00,100
0.12,5,0.35,5.50,100
0.12,5,0.35,6.00,100
0.12,5,0.35,6.50,100
0.12,5,0.35,7.00,100
0.12,5,0.35,7.50,100
0.12,5,0.35,8.00,100
0.12,5,0.35,8.50,100
0.12,5,0.35,9.00,100
0.15,1,0.19,2.00,0
0.15,1,0.19,2.50,0
0.15,1,0.19,3.00,0
0.15,1,0.19,3.50,0
0.15,1,0.19,4.00,0
0.15,1,0.19,4.50,0
0.15,1,0.19,5.00,0
0.15,1,0.19,5.50,80
0.15,1,0.19,6.00,100
0.15,1,0.19,6.50,95
0.15,1,0.19,7.00,100
0.15,1,0.19,7.50,100
0.15,1,0.19,8.00,100
0.15,1,0.19,8.50,100
0.15,1,0.19,9.00,100
0.15,2,0.23,2.00,0
0.15,2,0.23,2.50,0
0.15,2,0.23,3.00,0
0.15,2,0.23,3.50,0
0.15,2,0.23,4.00,15
0.15,2,0.23,4.50,100
0.15,2,0.23,5.00,100
0.15,2,0.23,5.50,100
0.15,2,0.23,6.00,100
0.15,2,0.23,6.50,100
0.15,2,0.23,7.00,100
0.15,2,0.23,7.50,100
0.15,2,0.23,8.00,100
0.15,2,0.23,8.50,100
0.15,2,0.23,9.00,100
0.15,3,0.27,2.00,0
0.15,3,0.27,2.50,0
0.15,3,0.27,3.00,10
0.15,3,0.27,3.50,90
0.15,3,0.27,4.00,100
0.15,3,0.27,4.50,100
0.15,3,0.27,5.00,100
0.15,3,0.27,5.50,100
0.15,3,0.27,6.00,100
0.15,3,0.27,6.50,100
0.15,3,0.27,7.00,100
0.15,3,0.27,7.50,100
0.15,3,0.27,8.00,100
0.15,3,0.27,8.50,100
0.15,3,0.27,9.00,100
0.15,4,0.34,2.00,0
0.15,4,0.34,2.50,0
0.15,4,0.34,3.00,100
0.15,4,0.34,3.50,100
0.15,4,0.34,4.00,100
0.15,4,0.34,4.50,100
0.15,4,0.34,5.00,100
0.15,4,0.34,5.50,100
0.15,4,0.34,6.00,100
0.15,4,0.34,6.50,100
0.15,4,0.34,7.00,100
0.15,4,0.34,7.50,100
0.15,4,0.34,8.00,100
0.15,4,0.34,8.50,100
0.15,4,0.34,9.00,100
0.15,5,0.39,2.00,0
0.15,5,0.39,2.50,0
0.15,5,0.39,3.00,100
0.15,5,0.39,3.50,100
0.15,5,0.39,4.00,100
0.15,5,0.39,4.50,100
0.15,5,0.39,5.00,100
0.15,5,0.39,5.50,100
0.15,5,0.39,6.00,100
0.15,5,0.39,6.50,100
0.15,5,0.39,7.00,100
0.15,5,0.39,7.50,100
0.15,5,0.39,8.00,100
0.15,5,0.39,8.50,100
0.15,5,0.39,9.00,100
0.18,1,0.22,2.00,0
0.18,1,0.22,2.50,0
0.18,1,0.22,3.00,0
0.18,1,0.22,3.50,0
0.18,1,0.22,4.00,0
0.18,1,0.22,4.50,0
0.18,1,0.22,5.00,15
0.18,1,0.22,5.50,90
0.18,1,0.22,6.00,95
0.18,1,0.22,6.50,100
0.18,1,0.22,7.00,100
0.18,1,0.22,7.50,85
0.18,1,0.22,8.00,100
0.18,1,0.22,8.50,100
0.18,1,0.22,9.00,100
0.18,2,0.26,2.00,0
0.18,2,0.26,2.50,0
0.18,2,0.26,3.00,0
0.18,2,0.26,3.50,0
0.18,2,0.26,4.00,30
0.18,2,0.26,4.50,95
0.18,2,0.26,5.00,100
0.18,2,0.26,5.50,100
0.18,2,0.26,6.00,100
0.18,2,0.26,6.50,100
0.18,2,0.26,7.00,100
0.18,2,0.26,7.50,100
0.18,2,0.26,8.00,100
0.18,2,0.26,8.50,100
0.18,2,0.26,9.00,100
0.18,3,0.31,2.00,0
0.18,3,0.31,2.50,0
0.18,3,0.31,3.00,50
0.18,3,0.31,3.50,100
0.18,3,0.31,4.00,100
0.18,3,0.31,4.50,100
0.18,3,0.31,5.00,100
0.18,3,0.31,5.50,100
0.18,3,0.31,6.00,100
0.18,3,0.31,6.50,100
0.18,3,0.31,7.00,100
0.18,3,0.31,7.50,100
0.18,3,0.31,8.00,100
0.18,3,0.31,8.50,100
0.18,3,0.31,9.00,100
0.18,4,0.38,2.00,0
0.18,4,0.38,2.50,0
0.18,4,0.38,3.00,100
0.18,4,0.38,3.50,100
0.18,4,0.38,4.00,100
0.18,4,0.38,4.50,100
0.18,4,0.38,5.00,100
0.18,4,0.38,5.50,100
0.18,4,0.38,6.00,100
0.18,4,0.38,6.50,100
0.18,4,0.38,7.00,100
0.18,4,0.38,7.50,100
0.18,4,0.38,8.00,100
0.18,4,0.38,8.50,100
0.18,4,0.38,9.00,100
0.18,5,0.43,2.00,0
0.18,5,0.43,2.50,0
0.18,5,0.43,3.00,100
0.18,5,0.43,3.50,100
0.18,5,0.43,4.00,100
0.18,5,0.43,4.50,100
0.18,5,0.43,5.00,100
0.18,5,0.43,5.50,100
0.18,5,0.43,6.00,100
0.18,5,0.43,6.50,100
0.18,5,0.43,7.00,100
0.18,5,0.43,7.50,100
0.18,5,0.43,8.00,100
0.18,5,0.43,8.50,100
0.18,5,0.43,9.00,100
0.21,1,0.25,2.00,0
0.21,1,0.25,2.50,0
0.21,1,0.25,3.00,0
0.21,1,0.25,3.50,0
0.21,1,0.25,4.00,0
0.21,1,0.25,4.50,0
0.21,1,0.25,5.00,50
0.21,1,0.25,5.50,65
0.21,1,0.25,6.00,95
0.21,1,0.25,6.50,85
0.21,1,0.25,7.00,100
0.21,1,0.25,7.50,100
0.21,1,0.25,8.00,100
0.21,1,0.25,8.50,95
0.21,1,0.25,9.00,95
0.21,2,0.30,2.00,0
0.21,2,0.30,2.50,0
0.21,2,0.30,3.00,0
0.21,2,0.30,3.50,0
0.21,2,0.30,4.00,95
0.21,2,0.30,4.50,100
0.21,2,0.30,5.00,100
0.21,2,0.30,5.50,100
0.21,2,0.30,6.00,100
0.21,2,0.30,6.50,100
0.21,2,0.30,7.00,100
0.21,2,0.30,7.50,100
0.21,2,0.30,8.00,100
0.21,2,0.30,8.50,100
0.21,2,0.30,9.00,100
0.21,3,0.34,2.00,0
0.21,3,0.34,2.50,0
0.21,3,0.34,3.00,85
0.21,3,0.34,3.50,100
0.21,3,0.34,4.00,100
0.21,3,0.34,4.50,100
0.21,3,0.34,5.00,100
0.21,3,0.34,5.50,100
0.21,3,0.34,6.00,100
0.21,3,0.34,6.50,100
0.21,3,0.34,7.00,100
0.21,3,0.34,7.50,100
0.21,3,0.34,8.00,100
0.21,3,0.34,8.50,100
0.21,3,0.34,9.00,100
0.21,4,0.41,2.00,0
0.21,4,0.41,2.50,55
0.21,4,0.41,3.00,100
0.21,4,0.41,3.50,100
0.21,4,0.41,4.00,100
0.21,4,0.41,4.50,100
0.21,4,0.41,5.00,100
0.21,4,0.41,5.50,100
0.21,4,0.41,6.00,100
0.21,4,0.41,6.50,100
0.21,4,0.41,7.00,100
0.21,4,0.41,7.50,100
0.21,4,0.41,8.00,100
0.21,4,0.41,8.50,100
0.21,4,0.41,9.00,100
0.21,5,0.46,2.00,0
0.21,5,0.46,2.50,0
0.21,5,0.46,3.00,100
0.21,5,0.46,3.50,100
0.21,5,0.46,4.00,100
0.21,5,0.46,4.50,100
0.21,5,0.46,5.00,100
0.21,5,0.46,5.50,100
0.21,5,0.46,6.00,100
0.21,5,0.46,6.50,100
0.21,5,0.46,7.00,100
0.21,5,0.46,7.50,100
0.21,5,0.46,8.00,100
0.21,5,0.46,8.50,100
0.21,5,0.46,9.00,100
