alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.03,1,0.07,2.00,0
0.03,1,0.07,2.50,0
0.03,1,0.07,3.00,0
0.03,1,0.07,3.50,0
0.03,1,0.07,4.00,0
0.03,1,0.07,4.50,0
0.03,1,0.07,5.00,0
0.03,1,0.07,5.50,0
0.03,1,0.07,6.00,0
0.03,1,0.07,6.50,0
0.03,1,0.07,7.00,35
0.03,1,0.07,7.50,95
0.03,1,0.07,8.00,100
0.03,1,0.07,8.50,100
0.03,1,0.07,9.00,100
0.03,2,0.10,2.00,0
0.03,2,0.10,2.50,0
0.03,2,0.10,3.00,0
0.03,2,0.10,3.50,0
0.03,2,0.10,4.00,0
0.03,2,0.10,4.50,0
0.03,2,0.10,5.00,0
0.03,2,0.10,5.50,0
0.03,2,0.10,6.00,35
0.03,2,0.10,6.50,95
0.03,2,0.10,7.00,100
0.03,2,0.10,7.50,100
0.03,2,0.10,8.00,100
0.03,2,0.10,8.50,100
0.03,2,0.10,9.00,100
0.03,3,0.14,2.00,0
0.03,3,0.14,2.50,0
0.03,3,0.14,3.00,0
0.03,3,0.14,3.50,0
0.03,3,0.14,4.00,0
0.03,3,0.14,4.50,15
0.03,3,0.14,5.00,60
0.03,3,0.14,5.50,100
0.03,3,0.14,6.00,100
0.03,3,0.14,6.50,100
0.03,3,0.14,7.00,100
0.03,3,0.14,7.50,100
0.03,3,0.14,8.00,100
0.03,3,0.14,8.50,100
0.03,3,0.14,9.00,100
0.03,4,0.20,2.00,0
0.03,4,0.20,2.50,0
0.03,4,0.20,3.00,0
0.03,4,0.20,3.50,0
0.03,4,0.20,4.00,5
0.03,4,0.20,4.50,95
0.03,4,0.20,5.00,100
0.03,4,0.20,5.50,100
0.03,4,0.20,6.00,100
0.03,4,0.20,6.50,100
0.03,4,0.20,7.00,100
0.03,4,0.20,7.50,100
0.03,4,0.20,8.00,100
0.03,4,0.20,8.50,100
0.03,4,0.20,9.00,100
0.03,5,0.24,2.00,0
0.03,5,0.24,2.50,0
