alpha_raptor,BCH_bits,alpha,coverage,success-percentage
0.3,2,0.39,3.00,0
0.3,2,0.39,4.00,95
0.3,2,0.39,5.00,100
0.3,3,0.44,1.50,0
0.3,3,0.44,2.00,0
0.3,3,0.44,3.00,90
0.3,3,0.44,4.00,100
0.3,3,0.44,5.00,100
0.3,4,0.52,1.50,0
0.3,4,0.52,2.00,0
0.3,4,0.52,3.00,100
0.3,4,0.52,4.00,100
0.3,4,0.52,5.00,100
0.3,5,0.57,1.50,0
0.3,5,0.57,2.00,0
0.3,5,0.57,3.00,100
0.3,5,0.57,4.00,100
0.3,5,0.57,5.00,100
0.3,6,0.63,1.50,0
0.3,6,0.63,2.00,0
0.3,6,0.63,3.00,100
0.3,6,0.63,4.00,100
0.3,6,0.63,5.00,100
0.3,7,0.68,1.50,0
0.3,7,0.68,2.00,0
0.3,7,0.68,3.00,100
0.3,7,0.68,4.00,100
0.3,7,0.68,5.00,100
0.4,1,0.45,1.50,0
0.4,1,0.45,2.00,0
0.4,1,0.45,3.00,0
0.4,1,0.45,4.00,0
0.4,1,0.45,5.00,90
0.4,2,0.50,1.50,0
0.4,2,0.50,2.00,0
0.4,2,0.50,3.00,0
0.4,2,0.50,4.00,95
0.4,2,0.50,5.00,100
0.4,3,0.55,1.50,0
0.4,3,0.55,2.00,0
0.4,3,0.55,3.00,100
0.4,3,0.55,4.00,100
0.4,3,0.55,5.00,100
0.4,4,0.63,1.50,0
0.4,4,0.63,2.00,5
0.4,4,0.63,3.00,100
0.4,4,0.63,4.00,100
0.4,4,0.63,5.00,100
0.4,5,0.69,1.50,0
0.4,5,0.69,2.00,0
0.4,5,0.69,3.00,100
0.4,5,0.69,4.00,100
0.4,5,0.69,5.00,100
0.4,6,0.75,1.50,0
0.4,6,0.75,2.00,0
0.4,6,0.75,3.00,100
0.4,6,0.75,4.00,100
0.4,6,0.75,5.00,100
0.4,7,0.81,1.50,0
0.4,7,0.81,2.00,0
0.4,7,0.81,3.00,100
0.4,7,0.81,4.00,100
0.4,7,0.81,5.00,100
0.5,1,0.55,1.50,0
0.5,1,0.55,2.00,0
0.5,1,0.55,3.00,0
0.5,1,0.55,4.00,0
0.5,1,0.55,5.00,85
0.5,2,0.61,1.50,0
0.5,2,0.61,2.00,0
0.5,2,0.61,3.00,15
0.5,2,0.61,4.00,95
0.5,2,0.61,5.00,100
0.5,3,0.66,1.50,0
0.5,3,0.66,2.00,0
0.5,3,0.66,3.00,100
0.5,3,0.66,4.00,100
0.5,3,0.66,5.00,100
0.5,4,0.75,1.50,0
0.5,4,0.75,2.00,95
0.5,4,0.75,3.00,100
0.5,4,0.75,4.00,100
0.5,4,0.75,5.00,100
0.5,5,0.81,1.50,0
0.5,5,0.81,2.00,60
0.5,5,0.81,3.00,100
0.5,5,0.81,4.00,100
0.5,5,0.81,5.00,100
0.5,6,0.88,1.50,0
0.5,6,0.88,2.00,5
0.5,6,0.88,3.00,100
0.5,6,0.88,4.00,100
0.5,6,0.88,5.00,100
0.5,7,0.94,1.50,0
0.5,7,0.94,2.00,0
0.5,7,0.94,3.00,100
0.5,7,0.94,4.00,100
0.5,7,0.94,5.00,100
0.6,1,0.66,1.50,0
0.6,1,0.66,2.00,0
0.6,1,0.66,3.00,0
0.6,1,0.66,4.00,0
0.6,1,0.66,5.00,80
0.6,2,0.71,1.50,0
0.6,2,0.71,2.00,0
0.6,2,0.71,3.00,85
0.6,2,0.71,4.00,100
0.6,2,0.71,5.00,100
0.6,3,0.77,1.50,0
0.6,3,0.77,2.00,25
0.6,3,0.77,3.00,100
0.6,3,0.77,4.00,100
0.6,3,0.77,5.00,100
0.6,4,0.87,1.50,0
0.6,4,0.87,2.00,100
0.6,4,0.87,3.00,100
0.6,4,0.87,4.00,100
0.6,4,0.87,5.00,100
0.6,5,0.93,1.50,0
0.6,5,0.93,2.00,100
0.6,5,0.93,3.00,100
0.6,5,0.93,4.00,100
0.6,5,0.93,5.00,100
0.6,6,1.00,1.50,0
0.6,6,1.00,2.00,85
0.6,6,1.00,3.00,100
0.6,6,1.00,4.00,100
0.6,6,1.00,5.00,100
0.6,7,1.07,1.50,0
0.6,7,1.07,2.00,15
0.6,7,1.07,3.00,100
0.6,7,1.07,4.00,100
0.6,7,1.07,5.00,100
